 ,Ratio
AIGEN,0.00000711 
AIGEN,0.00000611 
AIGEN,0.00000606 
AIGEN,0.00000583 
AIGEN,0.00000556 
AIGEN,0.00000545 
AIGEN,0.00000521 
AIGEN,0.00000506 
AIGEN,0.00000499 
AIGEN,0.00000495 
AIGEN,0.00000462 
AIGEN,0.00000449 
AIGEN,0.00000449 
AIGEN,0.00000450 
AIGEN,0.00000439 
AIGEN,0.00000439 
AIGEN,0.00000434 
AIGEN,0.00000433 
AIGEN,0.00000433 
AIGEN,0.00000432 
AIGEN,0.00000432 
AIGEN,0.00000428 
AIGEN,0.00000428 
AIGEN,0.00000427 
AIGEN,0.00000422 
AIGEN,0.00000422 
AIGEN,0.00000417 
AIGEN,0.00000416 
AIGEN,0.00000410 
AIGEN,0.00000411 
AIGEN,0.00000410 
AIGEN,0.00000405 
AIGEN,0.00000405 
AIGEN,0.00000394 
AIGEN,0.00000394 
AIGEN,0.00000389 
AIGEN,0.00000389 
AIGEN,0.00000389 
AIGEN,0.00000389 
AIGEN,0.00000388 
AIGEN,0.00000388 
AIGEN,0.00000388 
AIGEN,0.00000383 
AIGEN,0.00000383 
AIGEN,0.00000383 
AIGEN,0.00000383 
AIGEN,0.00000378 
AIGEN,0.00000378 
AIGEN,0.00000377 
AIGEN,0.00000378 
AIGFUZZ,0.00908138 
AIGFUZZ,0.00321067 
AIGFUZZ,0.00065451 
AIGFUZZ,0.00125579 
AIGFUZZ,0.00053312 
AIGFUZZ,0.00050757 
AIGFUZZ,0.00032715 
AIGFUZZ,0.00082841 
AIGFUZZ,0.00040998 
AIGFUZZ,0.00067009 
AIGFUZZ,0.00035954 
AIGFUZZ,0.00019781 
AIGFUZZ,0.00034784 
AIGFUZZ,0.00056033 
AIGFUZZ,0.00037878 
AIGFUZZ,0.00030704 
AIGFUZZ,0.00014083 
AIGFUZZ,0.00032168 
AIGFUZZ,0.00033713 
AIGFUZZ,0.00022861 
AIGFUZZ,0.00049762 
AIGFUZZ,0.00025901 
AIGFUZZ,0.00030463 
AIGFUZZ,0.00027581 
AIGFUZZ,0.00015390 
AIGFUZZ,0.00030589 
AIGFUZZ,0.00017679 
AIGFUZZ,0.00020786 
AIGFUZZ,0.00018988 
AIGFUZZ,0.00016753 
AIGFUZZ,0.00055556 
AIGFUZZ,0.00050901 
AIGFUZZ,0.00025183 
AIGFUZZ,0.00017360 
AIGFUZZ,0.00010686 
AIGFUZZ,0.00013034 
AIGFUZZ,0.00009825 
AIGFUZZ,0.00011328 
AIGFUZZ,0.00013706 
AIGFUZZ,0.00025033 
AIGFUZZ,0.00008875 
AIGFUZZ,0.00008330 
AIGFUZZ,0.00016879 
AIGFUZZ,0.00011526 
AIGFUZZ,0.00015282 
AIGFUZZ,0.00010505 
AIGFUZZ,0.00007899 
AIGFUZZ,0.00007939 
AIGFUZZ,0.00012915 
AIGFUZZ,0.00005635 
AIGROW,23.76237624 
AIGROW,25.08710801 
AIGROW,27.37642586 
AIGROW,22.85714286 
AIGROW,22.42990654 
AIGROW,23.15112540 
AIGROW,23.00319489 
AIGROW,21.81818182 
AIGROW,25.62277580 
AIGROW,23.92026578 
AIGROW,8.70291304 
AIGROW,5.56028846 
AIGROW,4.06460967 
AIGROW,0.42647541 
AIGROW,0.30494444 
AIGROW,0.25334951 
AIGROW,0.28564972 
AIGROW,0.21344444 
AIGROW,0.04959276 
AIGROW,0.03317757 
AIGROW,0.03812500 
AIGROW,0.04175824 
AIGROW,0.03122172 
AIGROW,0.03772222 
AIGROW,0.02941463 
AIGROW,0.01360215 
AIGROW,0.01388889 
AIGROW,0.00959350 
AIGROW,0.00756364 
AIGROW,0.01154321 
AIGROW,0.00446352 
AIGROW,0.00364641 
AIGROW,0.00276190 
AIGROW,0.00287958 
AIGROW,0.00303371 
AIGROW,0.00232955 
AIGROW,0.00160173 
AIGROW,0.00209302 
AIGROW,0.00183246 
AIGROW,0.00180233 
AIGROW,0.00185185 
AIGROW,0.00166667 
AIGROW,0.00154286 
AIGROW,0.00152047 
AIGROW,0.00143713 
AIGROW,0.00137725 
AIGROW,0.00138554 
AIGROW,0.00139860 
AIGROW,0.00112426 
AIGROW,0.00098446 
HWMCC,45.28301887 
HWMCC,42.35294118 
HWMCC,40.90909091 
HWMCC,29.75206612 
HWMCC,9.03387704 
HWMCC,8.35266821 
HWMCC,8.20045558 
HWMCC,7.25806452 
HWMCC,7.06575074 
HWMCC,6.56934307 
HWMCC,6.48648649 
HWMCC,5.71428571 
HWMCC,5.03496504 
HWMCC,5.00695410 
HWMCC,4.63917526 
HWMCC,4.58891013 
HWMCC,4.24778761 
HWMCC,4.03135498 
HWMCC,3.84204909 
HWMCC,3.75782881 
HWMCC,3.71708828 
HWMCC,2.91852452 
HWMCC,2.90322581 
HWMCC,2.87769784 
HWMCC,2.85487708 
HWMCC,2.84135754 
HWMCC,2.81469898 
HWMCC,2.71390878 
HWMCC,2.69158879 
HWMCC,2.59365994 
HWMCC,2.58620690 
HWMCC,2.54957507 
HWMCC,2.52454418 
HWMCC,2.51836306 
HWMCC,2.50609119 
HWMCC,2.37310481 
HWMCC,2.35217249 
HWMCC,2.11081794 
HWMCC,2.09059233 
HWMCC,2.03332392 
HWMCC,1.89823359 
HWMCC,1.87500000 
HWMCC,1.76168339 
HWMCC,1.70092133 
HWMCC,1.62859082 
HWMCC,1.62089149 
HWMCC,1.61434978 
HWMCC,1.47631741 
HWMCC,1.46074254 
HWMCC,1.40900196 
