 ,Ratio
AIGEN,0.00001604 
AIGEN,0.00001528 
AIGEN,0.00001495 
AIGEN,0.00001459 
AIGEN,0.00001441 
AIGEN,0.00001440 
AIGEN,0.00001393 
AIGEN,0.00001366 
AIGEN,0.00001297 
AIGEN,0.00001294 
AIGEN,0.00001290 
AIGEN,0.00001288 
AIGEN,0.00001275 
AIGEN,0.00001253 
AIGEN,0.00001253 
AIGEN,0.00001245 
AIGEN,0.00001237 
AIGEN,0.00001226 
AIGEN,0.00001206 
AIGEN,0.00001190 
AIGEN,0.00001180 
AIGEN,0.00001168 
AIGEN,0.00001151 
AIGEN,0.00001141 
AIGEN,0.00001128 
AIGEN,0.00001120 
AIGEN,0.00001093 
AIGEN,0.00001089 
AIGEN,0.00001083 
AIGEN,0.00001081 
AIGEN,0.00001073 
AIGEN,0.00001050 
AIGEN,0.00001041 
AIGEN,0.00001043 
AIGEN,0.00001037 
AIGEN,0.00001011 
AIGEN,0.00001002 
AIGEN,0.00000998 
AIGEN,0.00000956 
AIGEN,0.00000949 
AIGEN,0.00000945 
AIGEN,0.00000939 
AIGEN,0.00000936 
AIGEN,0.00000933 
AIGEN,0.00000916 
AIGEN,0.00000911 
AIGEN,0.00000910 
AIGEN,0.00000905 
AIGEN,0.00000903 
AIGEN,0.00000903 
AIGFUZZ,0.29173420 
AIGFUZZ,0.23071007 
AIGFUZZ,0.28306337 
AIGFUZZ,0.97865978 
AIGFUZZ,2.92207792 
AIGFUZZ,0.28821905 
AIGFUZZ,0.46547711 
AIGFUZZ,0.57826681 
AIGFUZZ,0.24551592 
AIGFUZZ,0.19844551 
AIGFUZZ,0.60453401 
AIGFUZZ,0.17097572 
AIGFUZZ,0.02412472 
AIGFUZZ,0.03613105 
AIGFUZZ,0.45464203 
AIGFUZZ,0.00135631 
AIGFUZZ,0.00044261 
AIGFUZZ,0.00060311 
AIGFUZZ,0.00053152 
AIGFUZZ,0.00388617 
AIGFUZZ,0.00046450 
AIGFUZZ,0.00022834 
AIGFUZZ,0.00022221 
AIGFUZZ,0.00025471 
AIGFUZZ,0.00020754 
AIGFUZZ,0.00052022 
AIGFUZZ,0.00014961 
AIGFUZZ,0.00022166 
AIGFUZZ,0.00030412 
AIGFUZZ,0.00008801 
AIGFUZZ,0.00011397 
AIGFUZZ,0.00005376 
AIGFUZZ,0.00006190 
AIGFUZZ,0.00003652 
AIGFUZZ,0.00007308 
AIGFUZZ,0.00002622 
AIGFUZZ,0.00013594 
AIGFUZZ,0.00005140 
AIGFUZZ,0.00002114 
AIGFUZZ,0.00004877 
AIGFUZZ,0.00002354 
AIGFUZZ,0.00007670 
AIGFUZZ,0.00003780 
AIGFUZZ,0.00003891 
AIGFUZZ,0.00003109 
AIGFUZZ,0.00001825 
AIGFUZZ,0.00001560 
AIGFUZZ,0.00005751 
AIGFUZZ,0.00003915 
AIGFUZZ,0.00003119 
AIGROW,48.00000000 
AIGROW,48.00000000 
AIGROW,49.65517241 
AIGROW,58.06451613 
AIGROW,54.13533835 
AIGROW,19.15054795 
AIGROW,0.00347561 
AIGROW,0.00212121 
AIGROW,0.00514286 
AIGROW,0.00051613 
AIGROW,0.00027211 
AIGROW,0.00046512 
AIGROW,0.00020000 
AIGROW,0.00008130 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
AIGROW,0.00000000 
HWMCC,45.28301887 
HWMCC,42.35294118 
HWMCC,40.90909091 
HWMCC,37.30569948 
HWMCC,32.57918552 
HWMCC,31.57894737 
HWMCC,29.75206612 
HWMCC,18.75000000 
HWMCC,18.50899743 
HWMCC,14.63414634 
HWMCC,13.95348837 
HWMCC,12.99638989 
HWMCC,11.21495327 
HWMCC,10.51094891 
HWMCC,9.03387704 
HWMCC,8.35266821 
HWMCC,7.96460177 
HWMCC,7.25806452 
HWMCC,7.06575074 
HWMCC,6.56934307 
HWMCC,6.48648649 
HWMCC,6.21225194 
HWMCC,6.11724724 
HWMCC,6.04026846 
HWMCC,6.03015075 
HWMCC,5.76461169 
HWMCC,5.71428571 
HWMCC,5.56844548 
HWMCC,5.47528517 
HWMCC,5.04201681 
HWMCC,5.01392758 
HWMCC,5.00695410 
HWMCC,4.58891013 
HWMCC,4.51977401 
HWMCC,4.24778761 
HWMCC,4.18361418 
HWMCC,4.03135498 
HWMCC,3.84204909 
HWMCC,3.78947368 
HWMCC,3.75782881 
HWMCC,3.71708828 
HWMCC,3.68474923 
HWMCC,3.60540811 
HWMCC,3.45987506 
HWMCC,3.21859633 
HWMCC,3.18161732 
HWMCC,3.18161732 
HWMCC,3.18161732 
HWMCC,3.18161732 
HWMCC,3.18161732 
