 ,Ratio
AIGEN,0.003304501
AIGEN,0.003070893
AIGEN,0.002186959
AIGEN,0.002178608
AIGEN,0.001595111
AIGEN,0.001554689
AIGEN,0.001434382
AIGEN,0.001223886
AIGEN,0.001127484
AIGEN,0.001121931
AIGEN,0.00095901
AIGEN,0.00080065
AIGEN,0.0007853
AIGEN,0.000773861
AIGEN,0.000764058
AIGEN,0.000735567
AIGEN,0.000671508
AIGEN,0.000576472
AIGEN,0.000569838
AIGEN,0.000550054
AIGEN,0.00052736
AIGEN,0.000466547
AIGEN,0.000465816
AIGEN,0.000439001
AIGEN,0.000433274
AIGEN,0.000430831
AIGEN,0.000417368
AIGEN,0.000413929
AIGEN,0.000395807
AIGEN,0.000393375
AIGEN,0.000385614
AIGEN,0.000378955
AIGEN,0.00037603
AIGEN,0.000361958
AIGEN,0.000358423
AIGEN,0.000357292
AIGEN,0.000355331
AIGEN,0.000350174
AIGEN,0.000348943
AIGEN,0.000341807
AIGEN,0.000339518
AIGEN,0.000332766
AIGEN,0.00032359
AIGEN,0.00031915
AIGEN,0.000306971
AIGEN,0.00029168
AIGEN,0.000281796
AIGEN,0.000274382
AIGEN,0.000273557
AIGEN,0.000272477
AIGFUZZ,0.25511108
AIGFUZZ,0.2758515
AIGFUZZ,0.255690898
AIGFUZZ,0.571655419
AIGFUZZ,0.362245925
AIGFUZZ,0.278510861
AIGFUZZ,0.21255772
AIGFUZZ,0.192896511
AIGFUZZ,0.183779236
AIGFUZZ,0.040396428
AIGFUZZ,0.023892265
AIGFUZZ,0.028120603
AIGFUZZ,0.028527055
AIGFUZZ,0.015883514
AIGFUZZ,0.024894706
AIGFUZZ,0.027197764
AIGFUZZ,0.014323012
AIGFUZZ,0.034773862
AIGFUZZ,0.01431395
AIGFUZZ,0.021011993
AIGFUZZ,0.01294842
AIGFUZZ,0.019470487
AIGFUZZ,0.01051641
AIGFUZZ,0.01023627
AIGFUZZ,0.010148006
AIGFUZZ,0.011254042
AIGFUZZ,0.018597328
AIGFUZZ,0.013275163
AIGFUZZ,0.007981334
AIGFUZZ,0.009034597
AIGFUZZ,0.007769892
AIGFUZZ,0.007328696
AIGFUZZ,0.008547218
AIGFUZZ,0.015296507
AIGFUZZ,0.012455213
AIGFUZZ,0.007176761
AIGFUZZ,0.00728067
AIGFUZZ,0.006623848
AIGFUZZ,0.007022457
AIGFUZZ,0.008816633
AIGFUZZ,0.016638382
AIGFUZZ,0.007556955
AIGFUZZ,0.005328437
AIGFUZZ,0.009737912
AIGFUZZ,0.006169034
AIGFUZZ,0.015123308
AIGFUZZ,0.007208539
AIGFUZZ,0.006487353
AIGFUZZ,0.008213814
AIGFUZZ,0.007089666
AIGROW,61.01694915
AIGROW,33.48837209
AIGROW,28.91566265
AIGROW,54.96183206
AIGROW,26.96629213
AIGROW,25.53191489
AIGROW,30.25210084
AIGROW,42.85714286
AIGROW,30.37974684
AIGROW,24.09490566
AIGROW,8.173333333
AIGROW,7.304951923
AIGROW,4.314180328
AIGROW,4.867463415
AIGROW,2.857862319
AIGROW,8.662988506
AIGROW,5.699666667
AIGROW,6.116219512
AIGROW,0.911459227
AIGROW,2.22505618
AIGROW,1.164222222
AIGROW,0.617008929
AIGROW,1.102975207
AIGROW,0.628882682
AIGROW,0.484666667
AIGROW,0.449550562
AIGROW,0.461746988
AIGROW,0.422101449
AIGROW,0.379850746
AIGROW,0.585581395
AIGROW,0.348028169
AIGROW,0.372164948
AIGROW,0.322727273
AIGROW,0.167589744
AIGROW,0.350869565
AIGROW,0.291730769
AIGROW,0.162
AIGROW,0.207835052
AIGROW,0.144049587
AIGROW,0.091942446
AIGROW,0.135333333
AIGROW,0.137816092
AIGROW,0.143253012
AIGROW,0.157538462
AIGROW,0.056067416
AIGROW,0.080603448
AIGROW,0.061449275
AIGROW,0.02937037
AIGROW,0.064065041
AIGROW,0.063162393
HWMCC,45.28301887
HWMCC,42.35294118
HWMCC,40.90909091
HWMCC,29.75206612
HWMCC,18.50899743
HWMCC,14.63414634
HWMCC,10.51094891
HWMCC,9.242618742
HWMCC,9.242618742
HWMCC,9.242618742
HWMCC,9.033877039
HWMCC,8.352668213
HWMCC,8.200455581
HWMCC,7.258064516
HWMCC,7.065750736
HWMCC,6.569343066
HWMCC,6.486486486
HWMCC,6.117247239
HWMCC,6.040268456
HWMCC,6.030150754
HWMCC,5.714285714
HWMCC,5.568445476
HWMCC,5.483625286
HWMCC,5.462822458
HWMCC,5.034965035
HWMCC,5.013927577
HWMCC,5.006954103
HWMCC,4.639175258
HWMCC,4.588910134
HWMCC,4.519774011
HWMCC,4.339963834
HWMCC,4.247787611
HWMCC,4.031354983
HWMCC,3.875134553
HWMCC,3.842049093
HWMCC,3.75782881
HWMCC,3.717088281
HWMCC,3.677221655
HWMCC,3.605408112
HWMCC,3.483309144
HWMCC,3.481624758
HWMCC,3.481624758
HWMCC,3.45987506
HWMCC,3.265306122
HWMCC,3.218596334
HWMCC,2.95202952
HWMCC,2.918524524
HWMCC,2.903225806
HWMCC,2.877697842
HWMCC,2.854877082
