 ,Ratio
AIGEN,0.00001039 
AIGEN,0.00001037 
AIGEN,0.00001027 
AIGEN,0.00001025 
AIGEN,0.00001024 
AIGEN,0.00001022 
AIGEN,0.00001019 
AIGEN,0.00001020 
AIGEN,0.00001020 
AIGEN,0.00001016 
AIGEN,0.00001016 
AIGEN,0.00001016 
AIGEN,0.00001016 
AIGEN,0.00001015 
AIGEN,0.00001015 
AIGEN,0.00001015 
AIGEN,0.00001015 
AIGEN,0.00001014 
AIGEN,0.00001013 
AIGEN,0.00001013 
AIGEN,0.00001010 
AIGEN,0.00001013 
AIGEN,0.00001010 
AIGEN,0.00001007 
AIGEN,0.00001008 
AIGEN,0.00001007 
AIGEN,0.00001007 
AIGEN,0.00001008 
AIGEN,0.00001010 
AIGEN,0.00001008 
AIGEN,0.00001007 
AIGEN,0.00001006 
AIGEN,0.00001007 
AIGEN,0.00001007 
AIGEN,0.00001008 
AIGEN,0.00001007 
AIGEN,0.00001004 
AIGEN,0.00001005 
AIGEN,0.00001005 
AIGEN,0.00001004 
AIGEN,0.00001005 
AIGEN,0.00001005 
AIGEN,0.00001003 
AIGEN,0.00001003 
AIGEN,0.00001006 
AIGEN,0.00001003 
AIGEN,0.00001003 
AIGEN,0.00001003 
AIGEN,0.00001004 
AIGEN,0.00001005 
AIGFUZZ,0.14989368 
AIGFUZZ,0.05693901 
AIGFUZZ,0.06267221 
AIGFUZZ,0.06712960 
AIGFUZZ,0.04316486 
AIGFUZZ,0.05354300 
AIGFUZZ,0.03286345 
AIGFUZZ,0.03602669 
AIGFUZZ,0.03352349 
AIGFUZZ,0.03463505 
AIGFUZZ,0.02093332 
AIGFUZZ,0.01744952 
AIGFUZZ,0.01517066 
AIGFUZZ,0.01659481 
AIGFUZZ,0.01717150 
AIGFUZZ,0.01626963 
AIGFUZZ,0.01628516 
AIGFUZZ,0.01264116 
AIGFUZZ,0.01337590 
AIGFUZZ,0.01437373 
AIGFUZZ,0.00907524 
AIGFUZZ,0.00680752 
AIGFUZZ,0.00729553 
AIGFUZZ,0.00827369 
AIGFUZZ,0.00722519 
AIGFUZZ,0.00817192 
AIGFUZZ,0.00619129 
AIGFUZZ,0.00776168 
AIGFUZZ,0.01073824 
AIGFUZZ,0.00942917 
AIGFUZZ,0.00723774 
AIGFUZZ,0.00760853 
AIGFUZZ,0.00706081 
AIGFUZZ,0.00774963 
AIGFUZZ,0.00873547 
AIGFUZZ,0.00568429 
AIGFUZZ,0.00731023 
AIGFUZZ,0.00556092 
AIGFUZZ,0.00468084 
AIGFUZZ,0.00436381 
AIGFUZZ,0.00539990 
AIGFUZZ,0.00597808 
AIGFUZZ,0.00422869 
AIGFUZZ,0.00438131 
AIGFUZZ,0.00605454 
AIGFUZZ,0.00789086 
AIGFUZZ,0.00425141 
AIGFUZZ,0.00788354 
AIGFUZZ,0.00423617 
AIGFUZZ,0.00556360 
AIGROW,22.91612100 
AIGROW,22.47941748 
AIGROW,5.51406130 
AIGROW,4.35862179 
AIGROW,2.33080769 
AIGROW,5.67568627 
AIGROW,2.02477612 
AIGROW,1.27445513 
AIGROW,0.88662162 
AIGROW,0.91259928 
AIGROW,0.91347826 
AIGROW,0.75548822 
AIGROW,0.80689655 
AIGROW,0.54526786 
AIGROW,0.48540070 
AIGROW,0.47360544 
AIGROW,1.33905263 
AIGROW,0.42124088 
AIGROW,0.39935065 
AIGROW,0.29107492 
AIGROW,0.33129412 
AIGROW,0.26546763 
AIGROW,0.67907895 
AIGROW,0.18352227 
AIGROW,0.17066929 
AIGROW,0.60727273 
AIGROW,0.18000000 
AIGROW,0.11719008 
AIGROW,0.12911628 
AIGROW,0.27290323 
AIGROW,0.10990244 
AIGROW,0.09557971 
AIGROW,0.04735409 
AIGROW,0.04358676 
AIGROW,0.07325000 
AIGROW,0.04087786 
AIGROW,0.03730769 
AIGROW,0.03300353 
AIGROW,0.04180095 
AIGROW,0.03318548 
AIGROW,0.03157143 
AIGROW,0.02376000 
AIGROW,0.02313901 
AIGROW,0.06929577 
AIGROW,0.02017778 
AIGROW,0.06309859 
AIGROW,0.02032407 
AIGROW,0.02076190 
AIGROW,0.02947761 
AIGROW,0.01533597 
HWMCC,45.28301887 
HWMCC,42.35294118 
HWMCC,40.90909091 
HWMCC,32.57918552 
HWMCC,31.57894737 
HWMCC,29.75206612 
HWMCC,10.51094891 
HWMCC,9.03387704 
HWMCC,8.35266821 
HWMCC,7.25806452 
HWMCC,7.06575074 
HWMCC,6.56934307 
HWMCC,6.48648649 
HWMCC,5.03496503 
HWMCC,5.01392758 
HWMCC,5.00695410 
HWMCC,4.63917526 
HWMCC,4.58891013 
HWMCC,4.24778761 
HWMCC,4.03135498 
HWMCC,3.84204909 
HWMCC,3.75782881 
HWMCC,3.71708828 
HWMCC,3.68474923 
HWMCC,3.60540811 
HWMCC,2.90322581 
HWMCC,2.87769784 
HWMCC,2.85487708 
HWMCC,2.84135754 
HWMCC,2.81469898 
HWMCC,2.71390878 
HWMCC,2.69158879 
HWMCC,2.59365994 
HWMCC,2.58620690 
HWMCC,2.52454418 
HWMCC,2.37310481 
HWMCC,2.36686391 
HWMCC,2.35217249 
HWMCC,2.03332392 
HWMCC,1.89823359 
HWMCC,1.87500000 
HWMCC,1.85137567 
HWMCC,1.76168339 
HWMCC,1.70092133 
HWMCC,1.62859082 
HWMCC,1.62089149 
HWMCC,1.61434978 
HWMCC,1.47631741 
HWMCC,1.46074254 
HWMCC,1.40900196 
